Mean,SD,par,file,trait,type,treatment
6.63e-4,7.54e-4,Pi,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
552.515686,628.923584,NnzSnp,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
3e-5,4.6e-5,SigmaSq,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
-0.698001,0.825169,S,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
0.009682,0.004168,ResVar,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
0.006862,0.004147,GenVar,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
0.413985,0.245705,hsq,microbe_from_Mike/HN/asv_000001.parRes,asv_000001,microbe_from_Mike,HN
5.51e-4,5.47e-4,Pi,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
458.905212,456.248535,NnzSnp,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
1.3e-5,1.6e-5,SigmaSq,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
0.322378,0.848385,S,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
0.01501,0.001894,ResVar,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
7.89e-4,0.001186,GenVar,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
0.049897,0.074127,hsq,microbe_from_Mike/HN/asv_000009.parRes,asv_000009,microbe_from_Mike,HN
0.001072,8.89e-4,Pi,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
894.46991,741.848816,NnzSnp,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
2.6e-5,4e-5,SigmaSq,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
0.239192,0.659113,S,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
0.007593,0.002088,ResVar,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
0.002154,0.001961,GenVar,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
0.220965,0.198785,hsq,microbe_from_Mike/HN/asv_000013.parRes,asv_000013,microbe_from_Mike,HN
0.026006,0.048075,Pi,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
21714.039062,40142.753906,NnzSnp,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
3.04e-4,4.6e-4,SigmaSq,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
-1.691438,1.221558,S,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
0.169294,0.214991,ResVar,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
2.410916,0.228043,GenVar,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
0.934253,0.083509,hsq,microbe_from_Mike/HN/asv_000031.parRes,asv_000031,microbe_from_Mike,HN
6.05e-4,6.04e-4,Pi,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
503.973907,503.559875,NnzSnp,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
6e-6,8e-6,SigmaSq,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
0.20264,0.824493,S,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
0.005769,9.12e-4,ResVar,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
5.28e-4,7.17e-4,GenVar,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
0.083718,0.112591,hsq,microbe_from_Mike/HN/asv_000041.parRes,asv_000041,microbe_from_Mike,HN
8.24e-4,7.31e-4,Pi,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
686.862122,610.203857,NnzSnp,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
1e-5,1.3e-5,SigmaSq,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
0.334934,0.685808,S,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
0.004341,7.54e-4,ResVar,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
6.35e-4,6.27e-4,GenVar,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
0.127499,0.124255,hsq,microbe_from_Mike/HN/asv_000059.parRes,asv_000059,microbe_from_Mike,HN
0.001129,8.75e-4,Pi,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
941.963379,729.946899,NnzSnp,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
3.6e-5,5.4e-5,SigmaSq,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
-0.530114,0.596627,S,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
0.022354,0.009179,ResVar,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
0.014156,0.009122,GenVar,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
0.386822,0.245042,hsq,microbe_from_Mike/HN/asv_000077.parRes,asv_000077,microbe_from_Mike,HN
6.63e-4,6.11e-4,Pi,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
552.964539,509.445068,NnzSnp,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
2.1e-5,3.3e-5,SigmaSq,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
-0.003813,0.814348,S,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
0.036713,0.0063,ResVar,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
0.003591,0.005189,GenVar,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
0.089027,0.127426,hsq,microbe_from_Mike/HN/asv_000095.parRes,asv_000095,microbe_from_Mike,HN
6.55e-4,6.47e-4,Pi,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
545.702087,539.846191,NnzSnp,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
6e-6,1.3e-5,SigmaSq,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
0.294046,0.767208,S,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
0.006608,9.08e-4,ResVar,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
4.28e-4,6.24e-4,GenVar,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
0.060932,0.088176,hsq,microbe_from_Mike/HN/asv_000112.parRes,asv_000112,microbe_from_Mike,HN
0.001104,8.01e-4,Pi,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
920.424011,668.239868,NnzSnp,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
3e-6,4e-6,SigmaSq,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
-0.534951,0.494126,S,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
6.83e-4,3.99e-4,ResVar,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
8.92e-4,4.04e-4,GenVar,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
0.565245,0.25114,hsq,microbe_from_Mike/HN/asv_000155.parRes,asv_000155,microbe_from_Mike,HN
7.46e-4,7.02e-4,Pi,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
621.994324,585.077148,NnzSnp,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
2e-6,3e-6,SigmaSq,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
0.180446,0.805975,S,microbe_from_Mike/HN/asv_000160.parRes,asv_000160,microbe_from_Mike,HN
