estimates,SE,P.value,type,ASV
0.000398507179664276,0.000422166552554129,0.392,B,asv_000001
6.96829807778017e-05,6.08434475598289e-05,0.106,G,asv_000001
0.000108141688741609,0.000269698193406045,0.818,B,asv_000009
-2.88634954327022e-05,4.40768158011773e-05,0.332,G,asv_000009
6.52250875413613e-05,0.000225895167008492,0.78,B,asv_000013
7.17288333736688e-07,3.84359812329061e-05,0.842,G,asv_000013
-0.000294968626062102,0.000269476933303735,0.164,B,asv_000031
0,3.66013546475945e-05,0.744,G,asv_000031
-0.000120340630436528,0.000109478658474259,0.114,B,asv_000041
0,1.30518547636874e-05,0.336,G,asv_000041
1.36834289051962e-05,4.88526070746422e-05,0.514,B,asv_000049
4.16848382539758e-06,9.36524611427491e-06,0.15,G,asv_000049
-0.000107101004761897,0.00010691658344111,0.316,B,asv_000059
-8.26110479255078e-07,3.42229450149663e-05,0.62,G,asv_000059
0.000112049322948678,0.000320336471686564,0.354,B,asv_000077
2.50124972379641e-05,5.16033022733259e-05,0.106,G,asv_000077
0.00010213904075418,0.000383676667711705,0.754,B,asv_000095
-0.000103044592850646,8.70457242389731e-05,0.324,G,asv_000095
-4.99917577295067e-05,0.000111137786302631,0.572,B,asv_000112
0,1.56447949319621e-05,0.668,G,asv_000112
-0.000122119064026501,8.62799221666707e-05,0.174,B,asv_000155
1.64860073923759e-05,1.89672143787986e-05,0.23,G,asv_000155
3.91359133329515e-05,9.87886554865446e-05,0.818,B,asv_000160
5.82222975935266e-06,1.479144925194e-05,0.952,G,asv_000160
0.000376133630489097,0.000209117250549704,0.112,B,asv_000162
3.64377884456493e-06,4.84666186988381e-05,0.504,G,asv_000162
0,0,0,B,asv_000163
0,0,0,G,asv_000163
-0.000488390223255113,0.000231564765898544,0.038,B,asv_000183
0,4.25848279132219e-05,0.734,G,asv_000183
-0.000210737217718574,6.66730273002142e-05,0.018,B,asv_000189
0,1.26330007761074e-05,0.418,G,asv_000189
-0.000599052864425554,0.000141008061162411,0,B,asv_000191
-1.50459138845672e-07,3.04963220468235e-05,0.47,G,asv_000191
-0.00015159113711855,7.06664451531302e-05,0.042,B,asv_000196
1.50009126222682e-07,1.36349264576468e-05,0.422,G,asv_000196
-8.7094977413019e-06,0.000133057145836167,0.564,B,asv_000217
0,2.65641502633905e-05,0.408,G,asv_000217
-7.45789914164454e-05,0.000204792201416688,0.502,B,asv_000237
1.41127427761161e-05,3.38444981052443e-05,0.284,G,asv_000237
-0.000115919795098791,4.67421232596892e-05,0.01,B,asv_000241
-1.42911081839086e-06,8.59400121775402e-06,0.966,G,asv_000241
0,0,0,B,asv_000245
0,0,0,G,asv_000245
0.000313215733957396,0.000191405385559888,0.032,B,asv_000246
-2.38225615151422e-09,3.57645125773421e-05,0.5,G,asv_000246
-0.000426084532497256,0.000112569536412079,0,B,asv_000251
-7.63776965936902e-06,1.677550623853e-05,0.344,G,asv_000251
-0.000510227638306145,0.000165321460833609,0.004,B,asv_000260
1.33305570309274e-05,3.07423111160556e-05,0.306,G,asv_000260
