estimates,SE,P.value,type,ASV
0.00062127349895044,0.000406954033977383,0.104,B,asv_000001
2.49239863992464e-05,6.86297497518945e-05,0.594,G,asv_000001
0.000181169921762445,0.000135391007701977,0.242,B,asv_000009
0,1.82448240137673e-05,0.656,G,asv_000009
-0.000299644118421876,0.000193913568825848,0.132,B,asv_000013
0,2.96729025311427e-05,0.708,G,asv_000013
-0.000468950937933443,0.000124664912549097,0.002,B,asv_000031
3.07839533832644e-06,1.87060117524502e-05,0.328,G,asv_000031
1.92346047344266e-05,9.87865942798211e-05,0.702,B,asv_000041
9.5319333391819e-06,1.00981959925374e-05,0.104,G,asv_000041
-9.65580420978483e-05,0.000187225129927201,0.34,B,asv_000049
-7.87827261226067e-06,2.96082940028637e-05,0.292,G,asv_000049
-6.98377541241495e-05,0.000210811050267789,0.528,B,asv_000059
3.94003342465869e-12,3.14225868138025e-05,0.736,G,asv_000059
3.73440320706405e-05,0.000184766081946635,0.682,B,asv_000077
0,3.10408863436733e-05,0.71,G,asv_000077
0.000227491178681,0.000183509643502306,0.226,B,asv_000095
-1.57407662212452e-05,2.77985014307508e-05,0.468,G,asv_000095
-0.000510964632664175,0.000164280799650441,0,B,asv_000112
2.8727541853251e-06,3.0964394013365e-05,0.388,G,asv_000112
-0.000124513574401898,0.000107726495493957,0.064,B,asv_000155
-1.03605608152289e-07,1.26202076571924e-05,0.298,G,asv_000155
-7.16952366597063e-16,1.58036201215376e-12,0.744,B,asv_000160
0,2.0952587202883e-07,0.362,G,asv_000160
0.000318800071324642,0.000159290996970698,0.012,B,asv_000162
0,2.9099142789522e-05,0.526,G,asv_000162
4.48897813801094e-11,1.88002998998895e-11,0.014,B,asv_000163
-2.2140784380777e-09,6.8597478383142e-07,0.48,G,asv_000163
-0.00101097782840165,0.000262662478928764,0,B,asv_000183
0,5.08555814339877e-05,0.554,G,asv_000183
-1.98368013739241e-05,2.01729804211094e-05,0.508,B,asv_000189
-1.33863833160048e-06,6.07603112805275e-06,0.36,G,asv_000189
-0.000602023690482296,0.000202971822699759,0,B,asv_000191
7.2118268125292e-06,3.66941524967124e-05,0.872,G,asv_000191
-0.000227973458749079,0.000105282148710295,0.026,B,asv_000196
9.03321046751466e-06,1.75598574571288e-05,0.504,G,asv_000196
