genotype,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150
33-16,-4.16024182227846,-6.48442323204131,-5.36934011602908,-6.56871949454199,-3.10131998349414,-4.04621698822609,-5.99731904473843,-6.46751011000749,-4.3600156811636,-4.66713381985877,-6.68044003585745,-6.16574913001999,-5.36710201819038,-6.15728779329316,-4.75692960511025,-6.27011260973682,-5.65510573066732,-5.80770264562397,-4.85974479609457,-4.30595240541203,-5.62751868507709,-5.8555173175145,-5.53782376417014,-5.05040503221091,-4.60730564231894,-4.37448005174272,-3.97690651143204,-3.03101962705619,-5.59557781056854,-4.96693283108158,-4.7920007893103,-5.53934749430617,-5.49637911925655,-5.34890263934061,-6.57959967813024,-6.4439182781216,-6.29754566142226,-6.04311846026154,-5.03523776787011,-5.8921159133456404,-6.43369133827282,-5.88717244196384,-4.96237367251512,-6.41941006735494,-5.21001379980381,-6.06824466160208,-5.49964191723412,-5.45269397238911,-5.28148031407499,-5.84203251831297,-5.990642858533,-5.80740381904859,-5.12767871902555,-4.12576536038985,-5.99900083693947,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.50220040017238,-6.02277835108594,-6.03948186719164,-6.1830677605013,-6.69256707155302,-5.62119830467298,-5.53290856719972,-6.6348998094274,-4.9645628243786,-6.48022843846447,-3.1936671116502,-6.39406371803085,-6.04970158374786,-6.42988299664669,-5.56768098959871,-6.04847108606839,-6.29750134500583,-6.4747187571474,-6.5554718682676,-5.88242427175591,-5.18680719827286,-4.6196071865421,-6.36697178640006,-4.3676046974842,-6.21562864342189,-5.24908110011916,-4.60511166158026,-5.41406082158657,-5.70566563206446,-6.14381844273174,-6.53228527276445,-5.72677121177464,-5.23041379304575,-6.25750088985852,-4.2117791826976,-6.1342376826695,-5.93642435196528,-5.8404272448044,-5.9666499588511,-6.04758235344783,-5.07170686508014,-4.78793969207315,-4.87750579419603,-5.44384426868654,-5.73577801829347,-5.9358933020756,-5.87530856208415,-5.62157565237412,-6.00192167407923,-6.22317274234553,-5.01358863002766,-5.97929052459828,-5.75372587008457,-4.96831305901257,-6.50999242900598,-6.13147978864441,-6.22690557223567,-5.9381466328247,-4.44727394002419,-6.52141110920716,-4.77447913675804,-6.12920442078844,-6.50229151747391,-6.51598243678469,-6.31257761843086,-6.12625150315368,-6.33426703470658,-6.20245684585474,-6.27376773775547,-5.64749095709289,-3.97632820588876,-5.24046204860063,-4.99791606650856,-6.55421001814598,-4.23377060280732,-5.79153823334508,-6.22035108692899,-5.45626979878187,-2.58248574695728,-6.35433903473405,-6.48735160519224,-5.27076022194375,-6.15824480853707,-6.57791209040564,-3.98404784965978,-6.73269807139337,-4.30917196678042,-6.18621964978809,-4.74623732687869,-6.82344891789068,-3.94967342714084,-3.6687053265209
38-11,-3.96339210603323,-6.40709462788579,-5.39799817065084,-6.4839386679995,-3.10903636349329,-4.53620073208735,-6.11779489678214,-6.54319451038091,-4.16329891302485,-4.65062644934339,-6.70009340775404,-6.16574911597353,-5.39126961064131,-6.27651418607745,-4.75692960456181,-6.27011264280019,-5.83241353401935,-5.99044605958692,-4.83186076677046,-4.19666837149255,-5.30558867631118,-5.8555173175145,-5.53782376417014,-5.07773901978655,-4.37990455640969,-4.37448005185789,-3.81584467862476,-3.05345273524318,-5.59557780979989,-4.91255864760018,-4.6872296252395,-5.55913859973436,-5.49637911910056,-5.50152357813859,-6.5795996817878,-6.44468099962131,-6.32582239848262,-6.15518459267895,-4.98083766031112,-5.78388050652143,-6.53879266774963,-5.94222008747367,-4.92303768866257,-6.43886400730074,-5.45619743116274,-6.04876861138396,-5.26563456893577,-5.50290138678209,-5.1083437908651,-5.94224428974092,-6.09697880378503,-5.82063667721378,-5.17918351895167,-4.07292790881682,-6.05693349755913,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.49101970326922,-6.02277835108594,-6.19358653185716,-6.1830677605013,-6.67337077881907,-5.68596611697446,-5.51272793133198,-6.63489981202866,-5.00517874234153,-6.47981331825769,-3.10095794800596,-6.39406371803085,-6.28283270428685,-6.21833140461845,-5.62920058597626,-5.97049464705373,-6.25803041773939,-6.18429581202903,-6.49171457696285,-5.8042455954485,-5.14776026289989,-4.3978316166079,-6.34404876234595,-4.36760469684687,-6.47364452260781,-5.30538293449312,-4.43389962294521,-5.414060821138,-5.81058008956972,-6.11579998459644,-6.50322782180312,-5.74188221954879,-5.4774185716622,-6.25973966243086,-4.14489055075142,-6.08288041727257,-5.82200975493177,-5.84042724515562,-6.10445522238769,-6.08722143363473,-4.96062749983933,-4.7233979354233,-4.86799474351941,-5.24093730073631,-5.71600307777192,-5.78943696012922,-5.95003846200029,-5.61706545662115,-6.00552734598882,-6.28068594998587,-5.11230800319566,-5.98181407536383,-5.74241347340824,-5.10098341548377,-6.4851468171522,-6.13147978864441,-6.61746545074489,-5.98854046435183,-4.22726032447193,-6.4824166363098,-5.26465862520159,-6.18723791062132,-6.54728475792404,-6.51598243678469,-6.31257761859271,-6.12625150315368,-6.30757673055604,-6.17271424312094,-6.18031097902938,-5.68228960736853,-4.02186072072018,-5.24710817461811,-4.99791607426112,-6.60077451118352,-4.3322343890229,-5.89064273822503,-6.22869173155924,-5.48996725875895,-2.68829698981925,-6.35112005461152,-6.49782487716351,-5.74373815575375,-6.28932557678033,-6.49133966187813,-3.83898947347418,-6.73269807210234,-4.39471838970891,-6.19812113348308,-5.37576178518685,-6.8234489182388,-4.09301909117721,-3.51781910724391
4226,-4.30176256566025,-6.46320132521213,-4.79743082047427,-6.56871949454199,-3.03401122552697,-3.94807314468186,-6.03488692959396,-6.48523962244342,-4.56470486733242,-4.71620694272992,-6.70260944330137,-6.16574913038441,-5.52808903379785,-6.26462897202943,-4.75692960331284,-6.27011257632527,-5.79566357913087,-5.94673780520668,-4.90915540873162,-4.36504290879276,-5.46237570275175,-5.8555173175145,-5.53782376417014,-5.03267223721748,-4.50648354211584,-4.37448005204322,-3.91646637542219,-2.93026880403561,-5.59557781019954,-4.96607226533493,-4.78375239281841,-5.89792838190633,-5.49637911951202,-5.40091087277019,-6.57959968155893,-6.44964211412689,-6.32704881144396,-6.10209525034266,-4.97838852412751,-5.89107886709821,-6.522181111396,-5.93862477143809,-5.05604389371573,-6.3981527764142,-5.17935495029579,-6.0732167830705,-5.63981636775506,-5.50201534734488,-5.14048781314296,-6.01787879415395,-6.16332994859363,-5.80828621307374,-5.25126154331108,-4.01050185298613,-5.99074321697082,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.56791756968181,-6.02277835108594,-6.08867735109285,-6.1830677605013,-6.26035071850371,-5.53881055102224,-5.71589109601962,-6.63489981105112,-4.8114682537025,-6.48320541930883,-3.28955103880223,-6.39406371803085,-6.14157377770803,-6.21535711107849,-5.77192252450402,-6.02500062821223,-6.37699903827012,-6.32265958972691,-6.52225069541499,-5.75561485236479,-5.16342268961744,-4.64108053049146,-6.36872869310288,-4.36760469538166,-6.33275248902169,-5.35280136009854,-4.5866167929456,-5.41406082149295,-5.62625998310876,-6.14381684872746,-6.55127911521224,-5.80901901907355,-5.54574172029401,-6.27984668299111,-4.3875842026983,-6.17429126839291,-5.98451218422875,-5.8404272458512,-6.19524543794541,-6.06425572460833,-5.25609023151868,-4.78822644332972,-4.90026895578043,-5.33798299575782,-5.70304112870514,-6.0085080716631,-5.92412719346241,-5.60669933258785,-6.00582323046744,-6.23236512352185,-5.02024202756863,-6.00117299135382,-5.75906125442635,-5.00803832337932,-6.47495648674122,-6.13147978864441,-6.64937553889175,-5.96682624206851,-4.46920742757592,-6.52141110920716,-4.82871611001034,-5.81230586171479,-6.29155535248524,-6.51598243678469,-6.31257761753517,-6.12625150315368,-6.36791591502213,-6.183495534022,-6.23182947302465,-5.59780126314973,-4.03579336099524,-5.53431614937557,-4.99791609922419,-6.54336606007037,-4.11918965907679,-5.77764052404051,-6.21282280184351,-5.48644276311372,-2.73646266066733,-6.2860322096746,-6.47636429194711,-5.72298649998501,-5.9910080400763,-5.83785877344919,-3.6938597940197,-6.73269807004935,-4.40594356981089,-6.18785826245716,-4.64811477316834,-6.8234489179088,-3.96711164039372,-3.78761064583165
4722,-4.10854472971883,-6.4539773469326,-5.6622005256971,-6.56871949454199,-2.99734770971674,-4.19531554017579,-6.11812670437334,-6.51285112967646,-4.41420659660638,-4.77026323371916,-6.70260944330137,-6.16574912357387,-5.29141523918583,-6.26333866768321,-4.75692960129016,-6.27011260809902,-5.9362702760445,-5.82935368592964,-4.84487817979095,-4.22760327309742,-4.92038330512707,-5.8555173175145,-5.53782376417014,-5.16098568626226,-4.6641158718706,-4.37448005191142,-4.02441310555279,-3.11786715483051,-5.59557781045308,-4.96833645252717,-4.65717436428626,-5.87061575414302,-5.49637911942114,-5.48595131671945,-6.57959968147071,-6.45089874077034,-6.29194435787974,-6.11621203469801,-4.65125548339856,-5.75887254855897,-6.49175936682013,-5.76978465959357,-4.90485204056266,-6.38927238680238,-4.85579067475868,-6.05098255240237,-5.74024007735509,-5.41022789415915,-5.15335642651508,-6.05964111771861,-6.15717263917646,-5.8217865987165,-5.04646310398698,-3.91418568814589,-5.87676845918717,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.40857271985884,-6.02277835108594,-5.95810603636182,-6.1830677605013,-6.58674755798273,-5.59905154907373,-5.47438472054212,-6.63489981347606,-4.8978692097439,-6.47422949554998,-3.29019482363654,-6.39406371803085,-6.04598652408231,-6.12192623249303,-5.36768477147128,-6.02019969068395,-6.17375963088914,-6.31926795176156,-6.59807506169554,-5.79548301133019,-5.29332294513175,-4.6056689241845,-6.37157074024624,-4.36760469606115,-6.14891773242999,-4.97268303293653,-4.61639941414022,-5.41406082199757,-5.78493204606158,-6.1514612511368,-6.52454175485229,-5.58834439224957,-5.22309169638527,-6.26997574809093,-3.6603270179565,-6.11886504266357,-5.74751731807997,-5.84042724433298,-6.15898316854777,-5.84582569297354,-5.21503499317942,-4.7506898044037,-4.89367610643893,-5.50185229864416,-5.74903948986951,-5.74765932206166,-5.93482954667746,-5.51546499363512,-5.99524823364353,-6.25821634048535,-4.99577738849875,-5.95413983317518,-5.73610713511268,-4.94802081959324,-6.52528254533997,-6.13147978864441,-6.59424614821104,-5.98193125954937,-4.34500698757359,-6.24251189153558,-4.8667592063034,-5.99146526177039,-6.34473645008173,-6.51598243678469,-6.31257761749626,-6.12625150315368,-6.24215243361828,-6.1910667485422,-6.19286296100449,-5.01757053672766,-4.10102036920068,-5.41237048081228,-4.99791613283586,-6.57560518551853,-4.13253019536395,-5.8714163812803,-6.20499868210761,-5.49836413071058,-2.67564938581017,-6.29741345899544,-6.42299776996662,-5.21165992241751,-5.8986656941671,-6.59045811541786,-3.71176857675564,-6.73269807142784,-4.38739561417625,-6.1943581460568,-5.372654519044,-6.82344891753563,-3.97179454510167,-3.64140471368913
796,-4.19061339805321,-6.4650545538687,-5.42780311835048,-6.44399809234864,-2.959683147494,-4.55564821011103,-5.99664897183789,-6.47003094047524,-4.33461777511327,-4.73590063183209,-6.70260944330137,-6.16574913680804,-5.39636705007443,-6.38161408663619,-4.75692960453297,-6.27011263412181,-5.67866310677423,-5.87278405966704,-4.87967199846655,-4.35347036424672,-5.28860020168653,-5.8555173175145,-5.53782376417014,-5.18132345966173,-4.59488659967414,-4.3744800520659,-3.89094809088698,-3.08663208942615,-5.59557781102094,-4.97438579676781,-4.7429429794524,-5.83035628825754,-5.4963791194606,-5.17918255632598,-6.57959968037827,-6.44840709898602,-6.30099074173098,-6.17436984457308,-4.81131284345067,-5.80384091363174,-6.52137502062979,-5.989828192042,-4.9900619763187,-6.4023874794672,-5.11149693740009,-6.10405325967335,-5.59695755916523,-5.46575970525111,-5.1332162882923,-6.00893088044448,-6.07203216752158,-5.81607338385846,-5.16738306278085,-4.15974167448064,-5.9742483487922,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.47388503752287,-6.02277835108594,-6.14741717460486,-6.1830677605013,-6.66341774547106,-5.63700215058763,-5.81078111982731,-6.63489980623083,-4.82643081464032,-6.48256540864253,-3.26837917198258,-6.39406371803085,-6.16257794283961,-6.44238599851639,-5.55327028642195,-6.0009395981404,-6.25752559221103,-6.38046995023189,-6.60125596406866,-5.8382766022702,-4.94850843655554,-4.73185369221073,-6.36133700295504,-4.3676046966539,-6.37803928081455,-5.11847859288852,-4.61550403529923,-5.41406082190206,-5.76698211267034,-6.15386798082364,-6.54724872648551,-5.85608974677741,-5.42339811563688,-6.31190243574218,-4.24522625538101,-6.13547463321637,-5.76548238972988,-5.84042724681471,-6.07985721686586,-6.04910917696248,-5.30048184905967,-4.81842295894981,-4.91181508943093,-5.28801203532925,-5.72264215662514,-6.11669329608939,-5.88312377723302,-5.63019265417824,-6.01329254707896,-6.23773620632037,-5.10502346974882,-5.9498523928848,-5.75961217897379,-5.15066141702897,-6.45685865263335,-6.13147978864441,-6.56635230051048,-5.97739192856732,-4.42178670883375,-6.52141110920716,-4.99837253231801,-6.16885653729118,-6.50229151747391,-6.51598243678469,-6.31257761659447,-6.12625150315368,-6.29880589169949,-6.19513925773606,-6.24111902630353,-5.5224120606082,-4.17789941167601,-5.43899842431583,-4.9979161442078,-6.53789534380932,-4.40156589918559,-5.79211713753224,-6.20852598612048,-5.25679994918772,-2.53438140118862,-6.32275311021542,-6.4633681387351,-5.73949632438942,-6.28057124640645,-5.77942066794522,-3.75318816885265,-6.73269807139337,-4.40265662383392,-6.17981966720301,-6.21782352984738,-6.82344891794539,-3.97539307548899,-3.7005688784608
A188,-4.31695351046134,-6.52291981212679,-4.8134944005361,-6.38055558060945,-3.09154663978396,-4.44159601287086,-6.07048327560741,-6.49927321458884,-4.36670467125363,-4.80173792098749,-6.70260944330137,-6.16574912102855,-5.32021107245151,-6.14484498986843,-4.75692960392703,-6.27011260107002,-5.55410642942084,-5.79773255977243,-4.88949379285274,-4.33655349848217,-5.4806938417748,-5.8555173175145,-5.53782376417014,-5.19869983570545,-4.58094216576809,-4.37448005187881,-3.96189307467442,-3.0562705442475,-5.59557781110809,-4.99314814798138,-4.82889662094898,-5.80479100566684,-5.49637911942334,-5.02442325669753,-6.57959967724388,-6.44824381811935,-6.2906027475737,-6.12730858038775,-4.82972540786517,-5.67611908450598,-6.50592690006143,-5.95118639385674,-4.98384442050332,-6.4102385998973,-4.98550775014978,-6.09476372673219,-5.75169589707307,-5.42652588909005,-5.17277440351193,-6.00683080161158,-6.03089663126656,-5.83864939760486,-5.47493743613262,-4.13789792552691,-5.91132102339273,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.4699077427123,-6.02277835108594,-6.06106623919997,-6.1830677605013,-6.52744646043991,-5.77233815364841,-5.47230321331833,-6.63489981176311,-4.8939536013397,-6.4865828980956,-3.33172068617818,-6.39406371803085,-6.32135399778096,-6.25807809167213,-5.57768123053691,-6.07119270312923,-6.36374368947955,-6.07931518512115,-6.56671083462749,-5.80721557080505,-5.29096391886075,-4.59762722643455,-6.3331797834976,-4.36760469642482,-6.05641299991095,-5.23838299532681,-4.6345794561765,-5.4140608218953,-5.71581733934413,-6.15326856228211,-6.55146349695698,-5.65978260950424,-5.33001869030742,-6.35258470033703,-4.20384484633686,-6.1379380691194,-5.8516965992301,-5.84042724532329,-5.98476115578963,-5.83735379845873,-5.09802377598206,-4.75158802768706,-4.88198302434655,-5.53606848598823,-5.81562493139632,-5.75758725372085,-5.73034567004226,-5.48337507998399,-5.99826268286973,-6.2553438880919,-4.97320955016763,-5.92330501078261,-5.74070518883313,-4.77582506809667,-6.45130266680294,-6.13147978864441,-6.26292458747777,-5.96513358851242,-4.39275225685913,-6.49175729884662,-5.1945673979013,-5.88467627273168,-6.51678372766151,-6.51598243678469,-6.31257761700134,-6.12625150315368,-6.2733100593481,-6.19625698043988,-6.33122027086175,-5.33013204352464,-3.91097989562547,-5.03209008512084,-4.9979160034472,-6.56960682285788,-4.05392928054133,-5.85363075377151,-6.23827750402062,-5.42761531904134,-2.53670843415228,-6.29285104672927,-6.42182247244052,-5.21346211045728,-5.86161353398827,-6.35433263029426,-3.9294987923143,-6.73269807074662,-4.37675641562506,-6.20461415535323,-4.92921761413793,-6.82344891803286,-4.01292875014053,-3.77282542208004
A214N,-4.2230738173694,-6.5438096615057,-5.17608259988111,-6.34542645662401,-2.99813667449981,-4.4968655976441,-6.0710487631048,-6.48111823904047,-4.23735899035891,-4.90196622088039,-6.70567114447941,-6.16574913360152,-5.40958169041069,-6.14008317761474,-4.75692960183095,-6.27011263383938,-5.90808514920415,-5.71214396502302,-4.87196718045554,-4.17322966102523,-5.08505779099335,-5.8555173175145,-5.53782376417014,-5.15905222213775,-4.58907675986334,-4.37448005210629,-4.13811344718727,-2.98442678172807,-5.595577810754,-5.02272617113142,-4.69306099616215,-5.85030171991015,-5.49637911952183,-5.52398889066433,-6.57959967976874,-6.4502487448986,-6.24567963848971,-6.20731030773284,-4.6623945971741,-5.60130470743855,-6.49345241993693,-5.72053142824322,-4.74221135615907,-6.42532990356366,-4.98015789256828,-6.12609462816849,-5.85640066632814,-5.37219645658908,-5.15695028423231,-5.98147624032115,-5.99525401127418,-5.879488799984,-5.23898832972536,-4.0904488856299,-5.68869986113303,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.63164830401356,-6.02277835108594,-6.23584399614866,-6.1830677605013,-6.64738271928931,-5.99437379044881,-5.57102186572818,-6.63489980392167,-4.92910886914593,-6.49218502893864,-3.27833505225353,-6.39406371803085,-6.23448956210026,-6.59781818834229,-5.30062668852032,-6.05429115436238,-6.40532431646403,-6.56706670857051,-6.45678101708346,-5.79212265464217,-5.01638399738908,-4.64644741473904,-6.34505524247916,-4.3676046949855,-6.51655160556114,-5.091316367066,-4.56667345754659,-5.41406082281668,-5.74918900238035,-6.20078021538669,-6.53781996076917,-5.76573745774353,-5.31422094010087,-6.31088851158956,-4.03021679072745,-6.04570058564375,-5.62656918560783,-5.84042724736972,-6.03665418654015,-5.71528339836052,-5.04578294972586,-4.77291184324311,-4.88883011476161,-5.48050506206484,-5.80242546794847,-6.03842617982773,-5.85770197393087,-5.37487740147242,-5.99826304892156,-6.29221788440876,-5.08802467382673,-5.90516512078735,-5.72965372207691,-4.92059384554785,-6.53085614344606,-6.13147978864441,-6.63090681158898,-5.98628220036722,-4.21182753969138,-6.42714343883789,-4.86433965036122,-5.93142941584007,-6.57357598599371,-6.51598243678469,-6.312577618781,-6.12625150315368,-6.22248684741046,-6.22680550151189,-6.3751398869238,-5.44705829273921,-3.88935164640634,-5.39049155746076,-4.99791599282623,-6.55361463885834,-4.02764888918524,-5.8509902041278,-6.18484653454753,-5.37189630976443,-2.49418978050413,-6.26903824222163,-6.31153301843245,-5.6060374167962,-5.83064193005972,-6.50773207161901,-4.17720042878594,-6.73269807210234,-4.3379168870888,-6.1908291623671,-6.25628425980355,-6.82344891746277,-4.26442121418062,-3.70547472657251
A239,-4.36931915706069,-6.52658846648806,-5.11953923212306,-6.56871949454199,-3.09382844687804,-4.16610744867311,-5.84592429076422,-6.40764362086985,-4.53044578115925,-4.78639493168569,-6.68412567439006,-6.16574913651234,-5.49566838017347,-6.09895765662872,-4.75692960544093,-6.27011260489234,-5.83033598992272,-5.94212987371207,-4.81225130400881,-4.49549892266502,-5.42268748309551,-5.8555173175145,-5.53782376417014,-5.3051635427471,-4.56448427571125,-4.37448005158524,-4.06958456180794,-3.17283304003784,-5.59557781068758,-5.01001359866011,-4.91235585143805,-5.9290209562625,-5.49637911944031,-5.30892255598625,-6.57959968164823,-6.44792616776679,-6.30100845483719,-6.08664871781691,-4.94954909938214,-5.92966583983273,-6.53817582629359,-6.02133169630793,-4.94751167057625,-6.4029296070465,-5.22122633396784,-6.0521497760159,-5.79677216888793,-5.46836745566284,-5.24845238568126,-5.99319531186056,-6.15999616621233,-5.86763434940825,-5.31414815548782,-4.13703929729047,-5.91652291121892,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.5614091851908,-6.02277835108594,-6.10990611267163,-6.1830677605013,-6.69304836939899,-5.33425647436446,-5.5083150886777,-6.63489981176311,-4.89482130304858,-6.47747494319523,-3.31058558199422,-6.39406371803085,-6.28408074174882,-6.20073894584179,-5.72870241191743,-6.04550304807014,-6.41394285859512,-6.49932096525728,-6.62720863347986,-5.8581995525335,-5.3316363379925,-4.74962692733043,-6.30479444491902,-4.36760469967177,-5.7153187427907,-5.30236279287151,-4.63885329026058,-5.41406082220016,-5.66945467956031,-6.16711971087554,-6.5227053233808,-5.87839669909541,-5.46470398077784,-6.32044565267732,-4.29963378681805,-6.1169274231837,-6.07972635477603,-5.84042724617401,-6.04312608492005,-5.97519874327928,-5.29771875299997,-4.82145857001907,-4.9003019950774,-5.43705728343858,-5.81301345355752,-6.08637492560152,-5.90088762372591,-5.77923528232105,-6.00270679846901,-6.23735767102418,-4.91942456305041,-5.98613249004687,-5.74827649843942,-4.85963627171952,-6.52528254533997,-6.13147978864441,-6.65315881863816,-5.97117779611285,-4.48669435705949,-6.44324474284075,-4.63053184468037,-6.14716531841086,-6.51678372766151,-6.51598243678469,-6.31257761791484,-6.12625150315368,-6.3433741707424,-6.19778543455022,-6.33527164754564,-5.6468299967566,-4.04303498913942,-5.38084497282517,-4.99791606232906,-6.52273777466433,-4.33913918415581,-5.86094523909707,-6.21090234362543,-5.49381099546913,-2.14441020182451,-6.34571327693498,-6.48985180134681,-6.00461685011848,-5.97382837209206,-6.41042684749997,-4.11513773743571,-6.73269806917656,-4.56274627333697,-6.20648893057326,-6.33224153562589,-6.82344891803286,-4.01162592597255,-3.8429517670851
A554,-3.95588879851172,-6.50106243306308,-4.53599262054571,-6.52172117812002,-3.06912999120672,-4.46817496069897,-6.07048327560741,-6.49927321458884,-4.39127568117353,-4.74852569934326,-6.70260944330137,-6.16574914745018,-5.57702804749584,-6.37029176600358,-4.75692960155395,-6.27011262184726,-5.82259250421948,-5.80815712249196,-4.82286791582194,-4.33835852896378,-5.47506720110476,-5.8555173175145,-5.53782376417014,-5.15621414520198,-4.49807717643753,-4.3744800521576,-3.94888628327332,-2.91932667201446,-5.59557780977061,-5.03666374830965,-4.8653257988978,-5.62116451034569,-5.496379119475,-5.46215885988222,-6.5795996788302,-6.44647472317945,-6.30498485941346,-6.07312383320422,-4.87566700410523,-6.14065700229445,-6.5357985117456,-6.04623345688928,-4.94817290348422,-6.40457719733235,-4.99428919925815,-6.08638976597563,-5.56312586030954,-5.404018268113,-5.23936353485976,-5.92221952226893,-6.04933392998407,-5.78615494463287,-5.39453984824594,-4.23332689605982,-5.91300230939309,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.5614091851908,-6.02277835108594,-6.03624151780652,-6.1830677605013,-6.60035994602148,-5.55271268536702,-5.81178990515699,-6.63489979878136,-4.89411950105178,-6.48556068404237,-3.28916361063136,-6.39406371803085,-6.0790397360601,-6.49993952473821,-5.55950044122247,-6.0447038059015,-6.38466008720255,-6.46507319503749,-6.62720863347986,-5.8271451507763,-5.12131403107334,-4.7288866162655,-6.35082524599115,-4.36760469431865,-6.1564299718039,-5.25060134290674,-4.69305549991236,-5.414060821761,-5.74814607959054,-6.14436231464507,-6.52250693952425,-5.85512955373316,-5.41055558138694,-6.33257362913162,-4.34095954017159,-6.11027374055546,-5.9651310638907,-5.84042724476473,-6.02935574756415,-6.01417724094577,-5.18178442342238,-4.77732214925499,-4.88550315634544,-5.68012019789614,-5.72484795286923,-5.92100446905595,-6.01830652338729,-5.67918283558353,-6.00809196945167,-6.24650965611139,-4.9648397153276,-5.94880505073842,-5.76361114338124,-5.05789880097996,-6.52528254533997,-6.13147978864441,-6.43561502397059,-5.98018183002313,-4.43164925085833,-6.51778885267918,-4.92882866823702,-6.14716531841086,-6.47629268281254,-6.51598243678469,-6.31257761824964,-6.12625150315368,-6.31491674223094,-6.20897603100751,-6.29805527303771,-5.87922961770255,-4.00278273717834,-5.33591745713806,-4.99791608921487,-6.56960682285788,-4.36285467024865,-5.86134367992802,-6.21433598466208,-5.50942175694809,-2.56851803648467,-6.28555460541513,-6.50177131044153,-5.68443567848487,-6.13237800034389,-6.54378627722805,-3.72421118143281,-6.73269807160427,-4.5872495520885,-6.19428762200049,-5.78657210547166,-6.82344891803286,-3.89794937903074,-3.53386124203939
A556,-3.85465098357858,-6.47519502131381,-5.15016099791575,-6.56871949454199,-3.22833131411956,-4.52922037112777,-6.07048327560741,-6.49927321458884,-4.2182462952674,-4.82250416018275,-6.70260944330137,-6.16574915507697,-5.27122147767763,-6.31295388207506,-4.75692960413796,-6.27011262996067,-5.93934987140654,-5.89520480525022,-4.84875759984081,-4.33498279142293,-5.30398542228531,-5.8555173175145,-5.53782376417014,-5.12110743349463,-4.48581496288791,-4.37448005196062,-3.96850131581576,-2.85853690905317,-5.59557781059344,-4.95476588326095,-4.73742473661662,-5.56608469997458,-5.49637911957762,-5.4474546968493,-6.57959968164823,-6.44699730041288,-6.30233225944944,-6.08122322327787,-4.95969230962899,-5.64641425253261,-6.48392347519595,-5.9402370086099,-5.03100685183709,-6.40482637294283,-5.01151704588328,-6.10539769986208,-5.44237366956683,-5.469191448493,-5.13917585564339,-6.07873523214263,-6.11921944106938,-5.80973482240978,-5.15367413302979,-4.0743461924051,-6.09935962717464,-6.10150236832554,-5.93320073479538,-5.97014067270826,-6.5614091851908,-6.02277835108594,-6.13946279406579,-6.1830677605013,-6.69304836939899,-5.43737651127746,-5.57143628352063,-6.63489981176311,-4.92622263605272,-6.47582543333013,-3.19521998428491,-6.39406371803085,-6.32135399778096,-6.36052434207781,-5.64406437547835,-5.9863195908863,-6.14645178045289,-6.49932096525728,-6.59879611571935,-5.93937929666254,-5.09441923662982,-4.73364664280181,-6.3478303375169,-4.36760469736591,-6.23179198096839,-5.20740068203799,-4.53635052318833,-5.41406082183295,-5.76457463441607,-6.1455550211812104,-6.55114812527911,-5.7912809803663,-5.79302316847997,-6.30810255558471,-4.25604290373623,-6.17734221534681,-5.969986068457,-5.84042724613932,-6.02851827911887,-5.98497223936548,-5.39172595632416,-4.7738501066344,-4.88236727594246,-5.3216395092332,-5.70321942894434,-6.31147064752063,-5.81614500080205,-5.42858638362891,-6.01159208166859,-6.25791916935846,-5.11137660126922,-5.96486120133282,-5.76711264691937,-5.02521471180244,-6.48804215013669,-6.13147978864441,-6.47025171845448,-5.96725284047352,-4.57600318720458,-6.50691276646166,-4.99619169371358,-6.08503983045938,-6.51678372766151,-6.51598243678469,-6.31257761777051,-6.12625150315368,-6.37231155271622,-6.19282439657405,-6.25727804845839,-5.5434694195604,-4.19815874737057,-5.15370344721115,-4.99791611491035,-6.56960682285788,-4.37762067979765,-5.93036537048374,-6.1964967364785,-5.55140067752998,-2.5164325711376,-6.35700127546039,-6.5312029580851,-5.87792708715707,-6.39434402725511,-6.41072605523602,-3.93992590536628,-6.73269807160427,-4.40852868010053,-6.20533335139498,-6.25888031657676,-6.82344891803286,-4.04897579066818,-3.44318376144869
