estimates,SE,P.value,type,ASV,treatment
-0.000488390223255113,0.000231564765898544,0.038,B,asv_000183,HN
-0.000210737217718574,6.66730273002142e-05,0.018,B,asv_000189,HN
-0.000599052864425554,0.000141008061162411,0,B,asv_000191,HN
-0.00015159113711855,7.06664451531302e-05,0.042,B,asv_000196,HN
-0.000115919795098791,4.67421232596892e-05,0.01,B,asv_000241,HN
0.000313215733957396,0.000191405385559888,0.032,B,asv_000246,HN
-0.000426084532497256,0.000112569536412079,0,B,asv_000251,HN
-0.000510227638306145,0.000165321460833609,0.004,B,asv_000260,HN
0.000308256403956618,0.000161144712917895,0.046,B,asv_000272,HN
-0.000404382200637599,0.000129441572035598,0.02,B,asv_000281,HN
-0.000273413102234242,9.71430730516564e-05,0.018,B,asv_000294,HN
-0.000496945505830763,0.000187780289209255,0,B,asv_000330,HN
0.000819464992909916,0.000364950385903008,0.028,B,asv_000369,HN
-0.000230167982968378,0.000108679639933104,0.018,B,asv_000396,HN
-0.000325000000789344,0.000123746609434858,0.028,B,asv_000511,HN
-8.72549402284405e-05,4.01982489768666e-05,0.002,B,asv_000920,HN
-0.000227909007309814,8.8889600844615e-05,0.014,B,asv_001001,HN
-6.85248799739836e-06,2.72431480866706e-06,0.02,B,asv_001011,HN
-0.000380603055135236,0.000137179861117811,0.016,B,asv_001244,HN
-0.000205010881796481,6.05052809546653e-05,0,B,asv_001292,HN
0.000313931649908597,0.000133931287310517,0.032,B,asv_001323,HN
-0.000150006442354217,6.25100842006972e-05,0.004,B,asv_001772,HN
0.000119758278260341,3.91635249117414e-05,0.018,B,asv_001840,HN
0.00084236001125388,0.00025950624358956,0.04,B,asv_001978,HN
0.000144714940374754,5.93931453138489e-05,0.026,B,asv_002692,HN
0.000237022236084087,9.58980290242353e-05,0.044,B,asv_002742,HN
0.000214830289831249,5.42242268517116e-05,0.004,B,asv_002841,HN
-0.000127571490475059,6.9026938142721e-05,0.04,B,asv_003343,HN
-0.000468950937933443,0.000124664912549097,0.002,B,asv_000031,LN
-0.000510964632664175,0.000164280799650441,0,B,asv_000112,LN
0.000318800071324642,0.000159290996970698,0.012,B,asv_000162,LN
4.48897813801094e-11,1.88002998998895e-11,0.014,B,asv_000163,LN
-0.00101097782840165,0.000262662478928764,0,B,asv_000183,LN
-0.000602023690482296,0.000202971822699759,0,B,asv_000191,LN
-0.000227973458749079,0.000105282148710295,0.026,B,asv_000196,LN
0.000361862940594693,0.000185550824471845,0.048,B,asv_000217,LN
-0.000521872704976438,0.000156059563076818,0.002,B,asv_000260,LN
7.37627133338058e-05,3.68579533389209e-05,0.034,B,asv_000311,LN
-0.000495567045122818,0.000147296187425879,0.002,B,asv_000330,LN
0.000159889014769598,3.99673351029237e-05,0,B,asv_000369,LN
-0.000516124903329178,0.000136134188411496,0,B,asv_000431,LN
0.000317750529937067,0.000104384077173012,0.012,B,asv_000470,LN
0.000189660527011136,7.69786922223605e-05,0.018,B,asv_000487,LN
0.000843904749604571,0.000443557288482189,0.014,B,asv_000529,LN
0.00035861911661176,0.000143443337990796,0.046,B,asv_000544,LN
-0.000480116010404151,0.000169091395179828,0.01,B,asv_000551,LN
-0.000434466480022422,0.000165915417867733,0.01,B,asv_000559,LN
-3.45068409642713e-05,2.04030991947581e-05,0.038,B,asv_000575,LN
-0.000682030499053427,0.000167893825000654,0,B,asv_000596,LN
-0.000308995846489452,9.71574008877104e-05,0.006,B,asv_000672,LN
-0.000725733080100466,0.000221859404579571,0,B,asv_000862,LN
-4.28128248906831e-05,1.96842696492669e-05,0.032,B,asv_000896,LN
-0.000433127786628891,0.000211334947280678,0.034,B,asv_000906,LN
-0.0003219669230466,0.000146453673712294,0.024,B,asv_000920,LN
-0.000528110659526437,0.000122269670318914,0,B,asv_001001,LN
-0.000354295944368268,0.000112000726205756,0,B,asv_001011,LN
-0.000342911263826773,0.000119162497397723,0,B,asv_001085,LN
-0.000150652318801909,5.02942950207405e-05,0.012,B,asv_001204,LN
-0.000325361563893201,8.45106547687696e-05,0.002,B,asv_001234,LN
-3.28292164715329e-05,1.53586951957541e-05,0.032,B,asv_001244,LN
-0.000344223803248915,0.000100264134812988,0,B,asv_001255,LN
-0.000729273580417165,0.000189381620995496,0,B,asv_001292,LN
-7.3269699054533e-05,3.06787490582233e-05,0.008,B,asv_001303,LN
0.00041701679775405,0.000131605419699981,0.002,B,asv_001323,LN
-0.000199634076241066,8.14022555037889e-05,0.008,B,asv_001416,LN
-5.0874116287436e-05,2.2324881051954e-05,0.006,B,asv_001499,LN
-0.000225933583201742,8.05166455411824e-05,0.028,B,asv_001667,LN
-0.000380220984970948,0.000180929321511141,0.01,B,asv_001772,LN
0.000118370112098575,3.58529502108676e-05,0,B,asv_001978,LN
-0.000157500289347325,6.36619614612593e-05,0.038,B,asv_001993,LN
-0.00018884765441077,9.65586535293181e-05,0.014,B,asv_002358,LN
0.000313800002643679,0.000132052195072248,0.018,B,asv_002692,LN
-6.53440700509528e-05,1.98822618130954e-05,0.008,B,asv_002780,LN
0.000341428846322364,0.000106912255840283,0.014,B,asv_002841,LN
