nitrogen_treatment,Microbial_Group,unique_ASVs_in_group,total_read_count,deseq2_log2FoldChange_HNvsLN,deseq2_lfc_SE,deseq2_lfc_padj,Heritability,Selection_coeff,Selection_coeff_sd,corr_CC_Aug12_r,corr_CC_Aug12_p,corr_ExG_Aug12_r,corr_ExG_Aug12_p,corr_B_r,corr_B_p,corr_Ca_r,corr_Ca_p,corr_CHL_r,corr_CHL_p,corr_Cu_r,corr_Cu_p,corr_DW_r,corr_DW_p,corr_Fe_r,corr_Fe_p,corr_FW_r,corr_FW_p,corr_K_r,corr_K_p,corr_LA_r,corr_LA_p,corr_Mg_r,corr_Mg_p,corr_Mn_r,corr_Mn_p,corr_N_r,corr_N_p,corr_P_r,corr_P_p,corr_S_r,corr_S_p,corr_Zn_r,corr_Zn_p
HN,Achromobacter insolitus,30,390923,1.2146102486193868,0.07763205798215181,2.3169756991414913e-54,0.439541,0.360022,0.805175,-0.25163912750889195,0.0010738251749934763,-0.15609222486684463,0.04461801804123994,0.04535521683258433,0.5398551886146172,-0.1586599424412146,0.026734486748080072,0.02328748731671587,0.7434297126430449,-0.06344289286032122,0.37949217647597655,-0.11444622532199175,0.11395670171941974,-0.060193178524093796,0.3971665864116145,-0.13372075943587677,0.06659343707807668,-0.0743957596048957,0.2938933044187327,-0.13950515280357284,0.048249905502852186,0.01092498865516728,0.8785879863530175,0.0013614345130157207,0.98565131124733385,0.0649738032480603,0.3606773718988361,0.1342548901994474,0.058047433093277805,0.001082844768830585,0.9878892317171082,0.09875690759803948,0.18349909249291696
HN,Acidibacter,7,28608,-0.7932898235859911,0.08320024634510852,3.5788567617555e-21,0.402982,0.264209,0.836155,0.1552776401705477,0.04575696994563042,0.13184925745496087,0.09039398041842486,-0.0970264879208016,0.18889322178823686,0.0901217078291684,0.2102270740302765,0.026637924458842867,0.7080901423788997,0.05724137347365136,0.42790720113572966,0.04997657251031553,0.4911983779663791,0.08232252599437141,0.2465022011509699,-0.009734211409337761,0.894241899583406,0.056909725125693283,0.4222908693863986,0.07391583916977043,0.2970273213642457,0.08600363086652793,0.2282999875652398,-0.05043171767164744,0.5050143074916371,-0.051871657788755535,0.46571470010130467,-0.04826453962660051,0.49734001337485156,-0.08959513738908417,0.20822350057451525,0.012140865272019644,0.8704245812700708
HN,Acidothermus,19,75878,-0.7610298406350496,0.06798217572188871,1.3549997433991197e-28,0.205398,0.29529300000000003,0.887667,0.2292415041240582,0.002969096224479465,0.23138674930418396,0.00270425721655745,-0.13530986998313646,0.06629943204583288,0.03782479095654831,0.5995925773221935,0.010603659143666252,0.8815357776958497,-0.025124947613098966,0.7280329092060582,0.15169996738592498,0.035688211852190406,0.05657991413231456,0.42615811121809255,0.1759133019029368,0.015466102457166512,0.16563369875010148,0.01877987004661524,0.20640632414615948,0.003284382117409944,0.002277013629740933,0.9746015635612847,-0.08443697274403796,0.26382403708743735,-0.048389281249308184,0.4962277210556839,-0.13764733343537022,0.05193312997860273,-0.20400960637771667,0.003849490124428219,-0.09070245072761757,0.2220439596094062
HN,Acinetobacter bouvetii,28,46499,0.3009136525308139,0.09802347225764245,0.002570320782900811,0.107541,0.273095,0.816608,0.030886239962005475,0.6928217379158811,0.02636936480573803,0.7359383049860061,-0.021968753030810067,0.7666055373224834,0.030487045798315036,0.6722298258463751,-0.0579807248998823,0.4147758644700318,-0.018794613652700708,0.7947789903047621,0.05643881272838929,0.436832908541378,-0.08554132869926222,0.22844923131940698,0.05330281757158954,0.46633857672247614,-0.033446718242402855,0.637381119685953,0.05538535632775664,0.4348464037375894,-0.09450863116803151,0.18537002964828092,-0.038407688005460794,0.6117703751138135,-0.08839109185451625,0.21326367985514913,-0.10151582170705278,0.15261671371171234,0.03125421907502664,0.6612234594429867,-0.002807818023012041,0.9699083281041112
HN,Acinetobacter johnsonii,23,282846,0.5872721620955027,0.10646205261138515,5.41083661367961e-8,0.082287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN,Acinetobacter nosocomialis,29,1502452,0.5620543071488835,0.07909202129137248,2.1279637790037257e-12,0.480424,-0.003813,0.814348,-0.10838459525656288,0.16453370466682218,0.06983840387341128,0.3712694782251992,-0.043864761000932846,0.5532702458216432,-0.03807185259639862,0.5972092099663886,0.0012422868840006943,0.9860708596822338,-0.14524130084286718,0.04331797285658627,0.09225904954065985,0.20310772011317382,-0.05125360575735329,0.4710534703080702,0.09329449435291269,0.20164979834826405,-0.04811953767197829,0.4975494956467166,0.06406749966974329,0.366219565388603,0.08680471728498862,0.2239797149176817,-0.02437828483144968,0.7473906462289155,0.021537759908252435,0.7621064113478366,-8.162263626398454e-4,0.9908478006059696,0.03000786629860577,0.6739441427677426,0.016393234274125822,0.8256696021244546
HN,Amycolatopsis mediterranei,12,139357,1.2511678361832885,0.0652445813851695,6.222719737737281e-81,0.510745,-0.176777,0.760081,0.039859848919168855,0.6101353124382567,-0.1247629658577515,0.10924940176384534,0.2320826289311668,0.0014789315889655972,0.059857647917788304,0.40583906063317476,0.03319568216051341,0.6407546737346745,0.1365737757116698,0.05758204355086039,-0.22536251805229462,0.0016730936838514228,-0.10605053329695732,0.1350193149370299,-0.19352038051723294,0.007628480595387116,-0.17425991457083223,0.013356784547613547,-0.20453730096994774,0.0035844861204610934,0.051153632404027816,0.4741724505470951,0.0781587845847288,0.30111264280411837,0.04725682978177504,0.506373638189402,0.14540444654423312,0.03993978317133523,0.13967983794480077,0.04910597192033009,0.06812676885027201,0.359482275750603
HN,Archangium gephyra,5,31830,-0.22950922065400847,0.08467640812181129,0.007874606685242827,0.188952,0.25995,0.8441,0.05301622120924798,0.4975294878744878,-0.00965745550447899,0.9017188784232888,0.09328461008899608,0.20660215405915777,0.03692122051456176,0.6083453485109307,-0.09569648109973446,0.17766950811894883,0.0801851415929228,0.2663864013987299,-0.00842951687162893,0.9076191367544858,-0.08240766170169296,0.24601228812226167,-0.006793245797587398,0.9260837419258579,0.04526082689426989,0.523468467385066,0.036589925099139324,0.6060715554560279,0.01821724639920568,0.7989258535293602,0.022422563031245055,0.7670495189207789,0.042295325761473455,0.5520686157997171,0.11622912052165721,0.10121645528095631,-0.08578302542308704,0.22831250147236434,0.047635933270381084,0.5219418026630767
HN,Arenimonas,9,34110,-0.36188280356778246,0.08263258317203785,1.6375525907385506e-5,0.284057,0.145672,0.839353,0.11453631566841956,0.1417280182830499,0.15997027946645867,0.039515667183066434,-0.04065084362780205,0.5827372409124623,-0.1427074170821498,0.04657040616573959,0.060116878295170297,0.39776632075493734,0.021145706840004462,0.7697858870246135,0.20899788226251498,0.0036230095168928236,0.023294211874091485,0.7433582146212139,0.16335908282270054,0.02470228406200121,0.02826180386407908,0.6904379209309044,0.16695746589907465,0.017840137977556493,-0.18329809738511763,0.009742425780519691,-0.15149085913243537,0.044134950279504426,-0.017352382365142877,0.8073238121475207,0.01522787557957487,0.8305336144013984,-0.1024528883687381,0.14987785891380828,-0.16410628839499034,0.026429044586642515
HN,Aridibacter,7,40648,-0.5385678638474639,0.080326540557284,3.519373719435235e-11,0.017259,,,0.058122994139056174,0.456977588361951,0.09332876436141616,0.23170314809954135,0.05803684868185076,0.4326307468901186,-0.220273994595849,0.0019729200594011675,-0.10247684632400095,0.1487497359019205,-0.04501309786156944,0.5331372061163839,0.1409176311819231,0.05122369335110634,-0.06855965475289173,0.3347260900897505,0.13942744196202864,0.05569032033868051,0.06815673443360432,0.33636092741752033,0.12154487903494174,0.085645835607872145,-0.24212369977864645,5.888689114999039e-4,-0.12910615058731537,0.0867767770626468,-0.06026297170482477,0.3966184729774104,0.02475498118797768,0.7278797884912738,-0.12880018406421526,0.06982204360145497,-0.11078706696162324,0.13542928059488404
